SPCD,PFT
746,EH
611,EH
762,EH
375,EH
371,EH
743,EH
372,EH
71,EH
901,EH
741,EH
742,EH
922,EH
552,EH
641,EH
373,EH
920,EH
379,EH
341,EH
761,EH
993,EH
763,EH
760,EH
70,EH
740,EH
571,EH
745,EH
712,EH
452,EH
381,EH
766,EH
345,EH
927,EH
451,EH
450,EH
925,EH
997,EH
771,EH
923,EH
995,EH
370,EH
876,EH
758,EH
752,EH
765,EH
854,EH
929,EH
350,EH
129,NP
125,NP
105,NP
126,NP
130,NP
136,NP
122,NP
95,MC
97,MC
94,MC
91,MC
96,MC
202,MC
16,MC
10,MC
90,MC
15,MC
241,CD
12,MC
261,LC
68,LC
43,LC
67,LC
61,LC
262,LC
57,LC
260,LC
66,LC
131,SP
111,SP
110,SP
132,SP
121,SP
128,SP
107,SP
115,SP
123,SP
316,LH
318,LH
531,LH
951,LH
317,LH
491,LH
711,LH
731,LH
313,LH
391,LH
521,LH
315,LH
332,LH
311,LH
319,LH
331,LH
314,LH
580,LH
952,LH
421,LH
953,LH
320,LH
310,LH
950,LH
323,LH
355,LH
330,LH
581,LH
334,LH
919,LH
582,LH
520,LH
802,NMH
833,NMH
837,NMH
541,NMH
972,NMH
544,NMH
543,NMH
407,NMH
823,NMH
931,NMH
602,NMH
701,NMH
975,NMH
402,NMH
462,NMH
809,NMH
830,NMH
682,NMH
500,NMH
356,NMH
660,NMH
804,NMH
999,NMH
601,NMH
400,NMH
974,NMH
545,NMH
681,NMH
935,NMH
970,NMH
977,NMH
501,NMH
816,NMH
502,NMH
663,NMH
412,NMH
481,NMH
357,NMH
600,NMH
463,NMH
845,NMH
936,NMH
664,NMH
621,SMH
832,SMH
835,SMH
827,SMH
806,SMH
693,SMH
812,SMH
403,SMH
409,SMH
820,SMH
971,SMH
831,SMH
408,SMH
813,SMH
461,SMH
826,SMH
824,SMH
471,SMH
994,SMH
651,SMH
825,SMH
404,SMH
817,SMH
834,SMH
828,SMH
819,SMH
405,SMH
973,SMH
655,SMH
840,SMH
546,SMH
800,SMH
842,SMH
367,SMH
548,SMH
410,SMH
654,SMH
540,SMH
650,SMH
680,SMH
836,SMH
658,SMH
808,SMH
460,SMH
406,SMH
413,SMH
976,SMH
662,SMH
422,SMH
996,SMH
423,SMH
844,SMH
424,SMH
653,Evergreen
838,Evergreen
591,Evergreen
721,Evergreen
555,Evergreen
652,Evergreen
841,Evergreen
992,Evergreen
988,Evergreen
989,Evergreen
857,Evergreen
981,Evergreen
987,Evergreen
513,Evergreen
858,Evergreen
510,Evergreen
986,Evergreen
694,Hydric
221,Hydric
691,Hydric
222,Hydric
822,Hydric
912,Hydric
401,Hydric
915,Hydric
722,Hydric
692,Hydric
921,Hydric
551,Hydric
744,Hydric
913,Hydric
860,Hydric
886,Hydric
873,Hydric
